                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.84	3.90	100.000	0.10	0.20
2	277.000000	13.13	4.81	100.000	0.10	0.20
3	415.500000	18.33	7.72	100.000	0.10	0.20
4	554.000000	26.55	10.20	100.000	0.10	0.20
5	692.500000	32.69	11.68	100.000	0.10	0.20
6	831.000000	23.54	13.81	100.000	0.10	0.20
7	969.500000	31.93	15.70	100.000	0.10	0.20
8	1177.250000	21.95	16.56	100.000	0.10	0.20
9	1246.500000	25.95	16.60	100.000	0.10	0.20
10	1523.500000	35.68	18.11	100.000	0.10	0.20
11	1592.750000	24.22	19.14	100.000	0.10	0.20
12	1662.000000	33.91	18.69	100.000	0.10	0.20
13	1800.500000	33.59	20.00	100.000	0.10	0.20
14	1869.750000	26.92	20.24	100.000	0.10	0.20
15	1939.000000	25.71	20.45	100.000	0.10	0.20
